Time	Air Flow	Lung Volume	Comp Ch 2
1.085	0.0393245	-4.98966e-05	-0.000440769
1.09	0.0393397	-5.20869e-05	-0.000473254
1.095	0.0393368	-5.44424e-05	-0.000508961
1.1	0.0393166	-5.69792e-05	-0.000547128
1.105	0.0392803	-5.97092e-05	-0.000587072
1.11	0.039232	-6.26408e-05	-0.000628284
1.115	0.039175	-6.57794e-05	-0.000670494
1.12	0.0391084	-6.91289e-05	-0.000713653
1.125	0.0390279	-7.26936e-05	-0.00075783
1.13	0.0389293	-7.6479e-05	-0.000803073
1.135	0.0388142	-8.04908e-05	-0.000849354
1.14	0.0386895	-8.47345e-05	-0.000896602
1.145	0.0385636	-8.92145e-05	-0.000944749
1.15	0.0384474	-9.39354e-05	-0.00099373
1.155	0.0383526	-9.89015e-05	-0.00104341
1.16	0.0382855	-0.000104117	-0.0010935
1.165	0.0382493	-0.000109584	-0.00114341
1.17	0.0382439	-0.000115304	-0.00119221
1.175	0.0382666	-0.000121273	-0.00123853
1.18	0.0383113	-0.000127479	-0.00128057
1.185	0.0383691	-0.000133903	-0.00131613
1.19	0.0384318	-0.000140513	-0.0013429
1.195	0.0384927	-0.000147265	-0.00135889
1.2	0.0385452	-0.000154102	-0.0013628
1.205	0.0385833	-0.000160959	-0.00135426
1.21	0.0386035	-0.000167771	-0.00133378
1.215	0.0386056	-0.000174476	-0.00130255
1.22	0.038591	-0.00018102	-0.00126209
1.225	0.0385616	-0.000187355	-0.00121406
1.23	0.0385238	-0.000193445	-0.0011601
1.235	0.0384881	-0.00019926	-0.00110167
1.24	0.0384638	-0.000204779	-0.00104009
1.245	0.0384563	-0.000209986	-0.000976551
1.25	0.0384696	-0.000214871	-0.000912304
1.255	0.0385059	-0.000219431	-0.000848713
1.26	0.038561	-0.000223667	-0.000787207
1.265	0.0386274	-0.000227591	-0.000729063
1.27	0.0386982	-0.000231222	-0.000675173
1.275	0.0387678	-0.000234581	-0.000625934
1.28	0.0388366	-0.000237695	-0.000581276
1.285	0.0389081	-0.000240587	-0.000540873
1.29	0.0389848	-0.000243279	-0.000504399
1.295	0.039067	-0.000245789	-0.000471741
1.3	0.0391539	-0.000248135	-0.000443033
1.305	0.0392439	-0.000250336	-0.000418626
1.31	0.0393316	-0.000252413	-0.000399011
1.315	0.0394078	-0.00025439	-0.000384817
1.32	0.0394604	-0.000256294	-0.000376761
1.325	0.03948	-0.000258155	-0.000375609
1.33	0.0394632	-0.000260007	-0.000382137
1.335	0.0394138	-0.00026189	-0.000397177
1.34	0.0393411	-0.000263844	-0.000421638
1.345	0.0392544	-0.000265918	-0.000456406
1.35	0.0391618	-0.000268162	-0.000502068
1.355	0.0390688	-0.000270635	-0.00055868
1.36	0.038979	-0.000273393	-0.000625665
1.365	0.0388971	-0.00027649	-0.000701827
1.37	0.0388268	-0.000279973	-0.00078533
1.375	0.0387694	-0.000283882	-0.000873649
1.38	0.0387258	-0.000288244	-0.000963676
1.385	0.0386899	-0.000293069	-0.00105202
1.39	0.0386521	-0.000298346	-0.00113556
1.395	0.0386077	-0.00030405	-0.00121196
1.4	0.0385524	-0.00031014	-0.00128004
1.405	0.0384812	-0.000316569	-0.00133978
1.41	0.0383952	-0.000323294	-0.00139198
1.415	0.038302	-0.000330275	-0.00143785
1.42	0.0382131	-0.000337481	-0.00147874
1.425	0.0381393	-0.000344887	-0.00151588
1.43	0.0380864	-0.000352475	-0.00155039
1.435	0.0380566	-0.000360232	-0.00158316
1.44	0.0380526	-0.000368151	-0.00161489
1.445	0.0380759	-0.000376227	-0.00164595
1.45	0.038123	-0.000384458	-0.00167648
1.455	0.0381872	-0.000392842	-0.0017064
1.46	0.0382586	-0.000401377	-0.00173544
1.465	0.038324	-0.000410058	-0.0017633
1.47	0.0383708	-0.00041888	-0.00178963
1.475	0.0383943	-0.000427834	-0.00181432
1.48	0.038396	-0.000436911	-0.00183748
1.485	0.0383798	-0.000446103	-0.00185943
1.49	0.0383521	-0.000455402	-0.00188054
1.495	0.0383196	-0.000464807	-0.00190118
1.5	0.0382863	-0.000474313	-0.00192174
1.505	0.0382548	-0.000483921	-0.00194271
1.51	0.0382253	-0.000493631	-0.00196451
1.515	0.0381943	-0.000503449	-0.00198733
1.52	0.0381574	-0.000513382	-0.00201092
1.525	0.0381136	-0.000523436	-0.00203452
1.53	0.0380604	-0.000533612	-0.00205698
1.535	0.0379985	-0.000543905	-0.00207699
1.54	0.0379341	-0.000554303	-0.00209323
1.545	0.0378714	-0.000564786	-0.00210438
1.55	0.0378149	-0.000575329	-0.00210916
1.555	0.0377729	-0.000585901	-0.00210636
1.56	0.0377515	-0.000596462	-0.00209476
1.565	0.0377503	-0.000606969	-0.00207329
1.57	0.0377675	-0.000617372	-0.002041
1.575	0.0378001	-0.000627616	-0.00199721
1.58	0.0378439	-0.000637642	-0.00194147
1.585	0.0378967	-0.00064739	-0.00187365
1.59	0.0379577	-0.000656798	-0.00179379
1.595	0.0380209	-0.000665807	-0.00170221
1.6	0.0380813	-0.000674356	-0.00159953
1.605	0.0381402	-0.000682388	-0.00148676
1.61	0.0382004	-0.000689851	-0.00136527
1.615	0.0382678	-0.000696701	-0.0012367
1.62	0.0383494	-0.000702902	-0.0011028
1.625	0.0384488	-0.000708428	-0.000965254
1.63	0.0385666	-0.000713261	-0.000825447
1.635	0.0387008	-0.000717392	-0.000684248
1.64	0.0388458	-0.000720816	-0.000541962
1.645	0.0389912	-0.000723529	-0.000398373
1.65	0.0391291	-0.000725527	0.0159105
1.655	0.0392575	-0.0007268	0.0322239
1.66	0.0393756	-0.000727336	0.0485436
1.665	0.0394813	2.37658e-07	0.0325437
1.67	0.0395731	1.31746e-06	0.016547
1.675	0.0396507	3.24304e-06	0.000549687
1.68	0.0397159	6.00693e-06	0.000710547
1.685	0.0397733	9.58628e-06	0.000863526
1.69	0.0398247	1.39409e-05	0.00100569
1.695	0.0398701	1.90149e-05	0.00113464
1.7	0.0399157	2.47392e-05	0.00124886
1.705	0.0399701	3.1036e-05	0.00134789
1.71	0.0400403	3.78255e-05	0.00143232
1.715	0.040128	4.5032e-05	0.00150368
1.72	0.0402276	5.25873e-05	0.00156424
1.725	0.0403293	6.04356e-05	0.00161676
1.73	0.0404201	6.85361e-05	0.00166425
1.735	0.0404903	7.68638e-05	0.00170962
1.74	0.0405375	8.54094e-05	0.00175549
1.745	0.0405572	9.41771e-05	0.00180401
1.75	0.0405476	0.000103182	0.00185678
1.755	0.0405141	0.000112447	0.00191474
1.76	0.0404613	0.000122001	0.00197799
1.765	0.0403956	0.000131875	0.00204576
1.77	0.0403253	0.000142093	0.00211662
1.775	0.0402575	0.000152672	0.0021889
1.78	0.0402021	0.000163618	0.00226117
1.785	0.0401687	0.000174928	0.00233258
1.79	0.0401639	0.000186595	0.00240292
1.795	0.0401884	0.000198613	0.00247251
1.8	0.0402402	0.000210976	0.00254197
1.805	0.0403174	0.000223684	0.0026119
1.81	0.0404154	0.000236739	0.00268261
1.815	0.0405291	0.00025015	0.00275393
1.82	0.040653	0.000263919	0.00282517
1.825	0.0407798	0.000278048	0.00289513
1.83	0.0409029	0.000292533	0.00296217
1.835	0.0410171	0.00030736	0.00302436
1.84	0.0411205	0.000322505	0.00307962
1.845	0.0412142	0.000337933	0.00312589
1.85	0.0412968	0.000353599	0.00316133
1.855	0.0413674	0.000369448	0.00318435
1.86	0.0414257	0.000385415	0.00319362
1.865	0.0414707	0.000401433	0.00318795
1.87	0.0414995	0.000417427	0.00316622
1.875	0.0415062	0.000433315	0.00312742
1.88	0.0414862	0.000449012	0.00307058
1.885	0.0414365	0.000464428	0.00299483
1.89	0.0413573	0.000479468	0.0028994
1.895	0.0412508	0.000494033	0.00278364
1.9	0.0411191	0.000508021	0.00264706
1.905	0.0409693	0.000521327	0.00248948
1.91	0.0408124	0.000533845	0.00231121
1.915	0.0406573	0.000545468	0.0021132
1.92	0.0405111	0.000556096	0.00189711
1.925	0.0403762	0.000565635	0.00166524
1.93	0.0402505	0.000574005	0.00142047
1.935	0.0401308	0.000581139	0.00116622
1.94	0.0400127	0.00058699	0.000906182
1.945	0.0398913	0.000591527	0.000644087
1.95	0.0397618	0.000594742	0.000384758
1.955	0.0396177	0.000596643	0.000133769
1.96	0.039455	0.000597255	-0.000103941
1.965	0.0392746	0.000596675	-0.000326923
1.97	0.0390797	0.000595002	-0.000536918
1.975	0.0388757	0.000592286	-0.000736236
1.98	0.0386721	0.000588573	-0.00092618
1.985	0.0384796	0.000583912	-0.00110695
1.99	0.0383062	0.000578347	-0.00127865
1.995	0.0381553	0.000571924	-0.00144115
2	0.0380294	0.000564687	-0.00159399
2.005	0.0379306	0.000556682	-0.00173646
2.01	0.037857	0.000547963	-0.0018676
2.015	0.0378014	0.000538583	-0.00198633
2.02	0.0377584	0.000528606	-0.00209157
2.025	0.0377255	0.0005181	-0.00218241
2.03	0.037701	0.000507137	-0.00225823
2.035	0.0376848	0.000495794	-0.00231876
2.04	0.0376752	0.000484149	-0.00236404
2.045	0.0376716	0.000472279	-0.0023943
2.05	0.0376724	0.000460259	-0.00240987
2.055	0.0376789	0.000448161	-0.0024112
2.06	0.0376939	0.00043606	-0.00239892
2.065	0.0377174	0.000424022	-0.00237376
2.07	0.0377492	0.000412113	-0.00233648
2.075	0.0377873	0.000400393	-0.00228768
2.08	0.0378288	0.000388918	-0.00222782
2.085	0.03787	0.000377743	-0.00215724
2.09	0.0379085	0.000366922	-0.00207623
2.095	0.0379426	0.000356507	-0.00198494
2.1	0.0379708	0.000346548	-0.00188335
2.105	0.0379974	0.000337097	-0.00177131
2.11	0.0380302	0.000328205	-0.00164868
2.115	0.0380769	0.000319925	-0.00151555
2.12	0.0381412	0.000312313	-0.00137228
2.125	0.0382219	0.00030542	-0.00121958
2.13	0.0383161	0.000299294	-0.00105848
2.135	0.038421	0.000293977	-0.000890272
2.14	0.0385352	0.000289507	-0.000716441
2.145	0.0386576	0.000285911	-0.000538496
2.15	0.0387854	0.00028321	-0.00659185
2.155	0.0389157	0.000281416	-0.0126413
2.16	0.0390505	0.000280537	-0.0186859
2.165	0.0391933	4.24131e-08	-0.0122567
2.17	0.0393459	1.0991e-06	-0.00582659
2.175	0.0395081	3.15722e-06	0.000599479
2.18	0.0396758	6.1864e-06	0.000782257
2.185	0.0398452	1.01382e-05	0.000953479
2.19	0.0400134	1.49507e-05	0.00111169
2.195	0.0401741	2.05554e-05	0.0012564
2.2	0.0403207	2.68822e-05	0.0013878
2.205	0.0404471	3.38637e-05	0.00150637
2.21	0.0405483	4.14364e-05	0.00161244
2.215	0.0406242	4.95394e-05	0.00170579
2.22	0.0406796	5.81123e-05	0.00178538
2.225	0.0407198	6.70904e-05	0.00184928
2.23	0.0407435	7.63974e-05	0.00189489
2.235	0.0407415	8.59426e-05	0.00191949
2.24	0.0407058	9.56194e-05	0.00192067
2.245	0.0406388	0.000105308	0.00189682
2.25	0.0405523	0.00011488	0.00184742
2.255	0.0404606	0.000124202	0.00177312
2.26	0.040376	0.000133146	0.00167567
2.265	0.0403076	0.000141594	0.00155761
2.27	0.0402578	0.000149441	0.00142194
2.275	0.0402208	0.000156598	0.00127181
2.28	0.0401881	0.000162995	0.00111025
2.285	0.0401469	0.000168575	0.000940187
2.29	0.040084	0.000173295	0.00076462
2.295	0.0399905	0.000177126	0.000586864
2.3	0.0398645	0.000180055	0.000410417
2.305	0.0397081	0.000182091	0.000239544
2.31	0.0395279	0.000183258	7.85428e-05
2.315	0.0393378	0.000183596	-6.91404e-05
2.32	0.0391513	0.000183197	-0.000202779
2.325	0.0389776	0.000182145	-0.000323538
2.33	0.0388203	0.000180491	-0.000432857
2.335	0.0386815	0.000178291	-0.000531256
2.34	0.0385643	0.000175597	-0.000618441
2.345	0.0384686	0.000172467	-0.000693807
2.35	0.0383925	0.000168956	-0.000756414
2.355	0.0383362	0.000165127	-0.000805109
2.36	0.0383011	0.000161051	-0.0008388
2.365	0.0382852	0.000156803	-0.000856699
2.37	0.0382872	0.000152465	-0.000858498
2.375	0.038309	0.000148119	-0.000844435
2.38	0.0383513	0.000143846	-0.000815241
2.385	0.0384172	0.000139722	-0.00077205
2.39	0.0385087	0.00013582	-0.000716313
2.395	0.0386206	0.000132202	-0.000649744
2.4	0.038746	0.000128923	-0.000574221
2.405	0.0388778	0.000126029	-0.000491644
2.41	0.0390083	0.000123553	-0.000403893
2.415	0.0391333	0.000121523	-0.000312885
2.42	0.0392494	0.000119954	-0.000220701
2.425	0.0393517	0.000118854	-0.00275192
2.43	0.0394364	0.000118217	-0.00528535
2.435	0.0395036	0.000118027	-0.00782288
2.44	0.0395567	2.49112e-07	-0.00512195
2.445	0.0396001	9.07566e-07	-0.00243191
2.45	0.0396382	1.91176e-06	0.000244049
2.455	0.039672	3.18657e-06	0.000281198
2.46	0.0396984	4.64951e-06	0.000301628
2.465	0.0397147	6.21458e-06	0.000305324
2.47	0.0397221	7.79572e-06	0.000292914
2.475	0.0397244	9.31081e-06	0.000265546
2.48	0.0397197	1.06837e-05	0.000224804
2.485	0.0397035	1.18464e-05	0.000172564
2.49	0.0396736	1.27406e-05	0.000111155
2.495	0.039624	1.33194e-05	4.32725e-05
2.5	0.0395522	1.35463e-05	-2.87319e-05
2.505	0.0394596	1.34069e-05	-0.000103576
2.51	0.0393533	1.29004e-05	-0.000181278
2.515	0.0392413	1.2006e-05	-0.000261889
2.52	0.0391298	1.07053e-05	-0.000344927
2.525	0.0390226	8.98484e-06	-0.000429142
2.53	0.0389214	6.83823e-06	-0.000513103
2.535	0.0388294	4.26697e-06	-0.000595302
2.54	0.0387485	1.27955e-06	-0.000674172
2.545	0.0386801	-2.10778e-06	-0.000748095
2.55	0.0386249	-5.87033e-06	-0.000815505
2.555	0.0385825	-9.97486e-06	-0.000875091
2.56	0.0385507	-1.43804e-05	-0.000926025
2.565	0.0385253	-1.90411e-05	-0.000968077
2.57	0.0385009	-2.39106e-05	-0.00100157
2.575	0.0384767	-2.89449e-05	-0.00102718
2.58	0.0384556	-3.41042e-05	-0.0010457
2.585	0.0384415	-3.93536e-05	-0.00105784
2.59	0.0384388	-4.46621e-05	-0.00106413
2.595	0.0384506	-5.00007e-05	-0.00106503
2.6	0.0384787	-5.53426e-05	-0.00106097
2.605	0.0385223	-6.06624e-05	-0.00105253
2.61	0.0385801	-6.59376e-05	-0.00104041
2.615	0.0386498	-7.11491e-05	-0.00102551
2.62	0.0387231	-7.62828e-05	-0.00100881
2.625	0.038788	-8.13293e-05	-0.000991342
2.63	0.0388344	-8.62851e-05	-0.000974206
2.635	0.0388602	-9.11513e-05	-0.000958504
2.64	0.0388672	-9.59351e-05	-0.000945284
2.645	0.0388599	-0.00010065	-0.000935391
2.65	0.0388459	-0.000105313	-0.000929347
2.655	0.038831	-0.000109946	-0.000927275
2.66	0.0388196	-0.00011457	-0.000928913
2.665	0.0388145	-0.000119203	-0.000933662
2.67	0.038814	-0.000123864	-0.000940691
2.675	0.0388152	-0.000128563	-0.000949036
2.68	0.0388159	-0.000133307	-0.000957682
2.685	0.0388115	-0.000138098	-0.000965635
2.69	0.038797	-0.000142932	-0.00097204
2.695	0.0387689	-0.0001478	-0.000976307
2.7	0.0387233	-0.00015269	-0.000978192
2.705	0.0386625	-0.000157589	-0.000977814
2.71	0.0385953	-0.000162484	-0.000975585
2.715	0.0385304	-0.000167367	-0.000972046
2.72	0.0384788	-0.000172229	-0.00096764
2.725	0.0384477	-0.000177069	-0.000962517
2.73	0.038442	-0.000181884	-0.000956432
2.735	0.0384651	-0.000186671	-0.000948712
2.74	0.0385146	-0.000191423	-0.000938256
2.745	0.0385832	-0.000196128	-0.000923609
2.75	0.0386594	-0.000200765	-0.000903129
2.755	0.0387321	-0.000205306	-0.000875174
2.76	0.0387942	-0.000209712	-0.000838329
2.765	0.0388403	-0.000213938	-0.000791638
2.77	0.0388702	-0.000217932	-0.000734837
2.775	0.0388863	-0.000221639	-0.000668413
2.78	0.03889	-0.00022501	-0.000593507
2.785	0.0388871	-0.000228001	-0.000511691
2.79	0.0388885	-0.000230576	-0.000424695
2.795	0.0388987	-0.000232711	-0.000334135
2.8	0.0389198	-0.000234388	-0.000241184
2.805	0.0389565	-0.000235599	0.00511182
2.81	0.0390131	-0.000236337	0.0104686
2.815	0.0390868	-0.000236593	0.0158311
2.82	0.0391718	2.63594e-07	0.0106849
2.825	0.0392636	1.09383e-06	0.00554445
2.83	0.0393583	2.51378e-06	0.000408513
2.835	0.0394513	4.54537e-06	0.000533201
2.84	0.0395376	7.20551e-06	0.000659402
2.845	0.0396168	1.05034e-05	0.00078517
2.85	0.0396911	1.44381e-05	0.000908295
2.855	0.0397622	1.89963e-05	0.00102653
2.86	0.0398341	2.41526e-05	0.00113776
2.865	0.0399115	2.98715e-05	0.00124011
2.87	0.0399993	3.61076e-05	0.00133214
2.875	0.0401011	4.28069e-05	0.00141298
2.88	0.040213	4.99109e-05	0.00148242
2.885	0.0403282	5.73603e-05	0.00154078
2.89	0.0404369	6.5099e-05	0.00158863
2.895	0.0405263	7.30751e-05	0.00162643
2.9	0.0405879	8.12393e-05	0.0016543
